Customer ID,Order date,Order value,Product contained in the order
555c03bf-5c9e-44dd-bd2e-80fa0268416a,2023-12-27 9:31:32,"137,02",Mascara
dffd1355-a413-421a-ad75-ca0f16707f17,2023-05-25 15:30:25,"182,48",Blush
1f672088-17ef-4816-be6e-6845bc97d93a,2024-07-30 19:49:38,"185,13",Concealer
51b0a3c5-c9e7-4aba-b5da-3e50822bbc3d,2021-12-13 21:19:24,"146,71",Concealer
414ac07f-5968-43e9-9d76-699d426de098,2024-01-24 19:31:20,"130,68",Lipstick
b56e3e15-b8b6-42ab-8aca-39eac7006938,2022-08-07 12:33:36,"95,09",Eyeshadow
11ebcd49-428a-4c22-95fd-b76a19fbeb1d,2022-12-26 11:06:24,"46,06",Eyeliner
56793f06-1264-4672-8f92-6225ad4f0f49,2023-02-06 8:02:27,"122,14",Eyeshadow
bde91174-a71f-45ac-ab86-2978ed0ebd14,2021-03-26 14:42:21,"162,06",Eyeliner
ba686ef2-f115-4c1c-b3d5-5a90fb0cb7db,2023-01-30 9:58:40,"139,42",Lipstick
92ec01d0-f2bb-4a67-ac5b-03af8b90e059,2024-04-29 1:04:53,"99,05",Powder
11ecdee5-6f5f-4b4f-b305-23a06ac27493,2022-12-03 10:01:54,"191,14",Mascara
3cd17950-81d1-496a-9f59-5c7cbf35cf4b,2022-01-05 22:36:13,"80,18",Eyeshadow
200fdfb8-bf4a-4314-a8de-82e3cc53c838,2022-02-05 14:56:53,"79,59",Powder
26f101d4-a868-4fd0-ad71-d400f6cf4e7a,2021-07-10 12:06:31,"60,46",Foundation
823c694c-f34a-4572-9bc0-7ca8391bac68,2024-09-14 8:45:46,"46,43",Eyeliner
2b9a8614-3040-4e6d-8493-d217f9d3b651,2022-10-16 17:15:57,"71,95",Concealer
1f716c6f-b462-41ce-b059-debc5bf8929b,2023-07-02 21:07:09,"20,37",Eyeshadow
868719e2-1543-49d5-8cc4-b853261ad0f4,2023-08-28 7:19:08,"99,44",Eyeliner
